index,click,hour,C1,banner_pos,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21,id_int,site_id_int,site_domain_int,site_category_int,app_id_int,app_domain_int,app_category_int,device_id_int,device_ip_int,device_model_int
0,0,14102100,1005,0,1,2,15706,320,50,1722,0,35,-1,79,-2279651841919287467,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,5046070946384506528,4295674080651588051
1,0,14102100,1005,0,1,0,15704,320,50,1722,0,35,100084,79,1357592371125933085,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,2814797654336592054,8597697701124467158
2,0,14102100,1005,0,1,0,15704,320,50,1722,0,35,100084,79,-8607166518066313269,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,7167258948501824803,-6351624509581666973
3,0,14102100,1005,0,1,0,15706,320,50,1722,0,35,100084,79,-4981402662603545255,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-3620383016342659643,-9068659649458215538
4,0,14102100,1005,1,1,0,18993,320,50,2161,0,35,-1,157,1274240671289198816,-6989217011279992995,-2170154065774416367,-7038547838583795797,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,8718230511589283685,-7640128113763281063
5,0,14102100,1005,0,1,0,16920,320,50,1899,0,431,100077,117,1274240671289198816,-8391469780661372980,-6321313078051792942,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,8392051010027843439,-6351624509581666973
6,0,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,1274240671289198816,-8866996747402688865,3134547528511865469,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-8306212933308559836,3617842697587675537
7,0,14102100,1005,1,1,0,20632,320,50,2374,3,39,-1,23,1644646285584966110,-5002982258106992296,-2205168921301951712,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,5564081480216272375,-3045051587222025656
8,1,14102100,1005,0,1,2,15707,320,50,1722,0,35,-1,79,1644646285584966110,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,1187265491867580841,-7215468400569239102
9,0,14102100,1002,0,0,0,21689,320,50,2496,3,167,100191,23,1364394579390858863,478928268242111831,111604357524640377,-2414393451864678829,-3459646385640828756,8511753678100510838,-3690605714457023166,-7765729365089349732,-5335984195263987473,47424301701698708
10,0,14102100,1005,1,1,0,17747,320,50,1974,2,39,100019,33,-5687325578124417467,-5002982258106992296,-2205168921301951712,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-2040758955435448663,-762454342246994788
11,0,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,-7899329810680059,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,6816500862458319746,3553263535699696302
12,0,14102100,1005,0,1,2,20596,320,50,2161,0,35,100148,157,-7899329810680059,9032686967820806461,-3101187702585206976,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,4464173494316122992,-6231722056536079404
13,0,14102100,1005,0,1,0,19771,320,50,2227,0,687,100077,48,-7899329810680059,-8391469780661372980,-6321313078051792942,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,3326651876707870531,-7603588060976262818
14,0,14102100,1005,0,1,0,20984,320,50,2371,0,551,-1,46,908839973146334696,8629950133425947508,111604357524640377,-2414393451864678829,-2828222101294193735,-904227634758625487,4844916605846005300,-3518045965299665547,2151515872715695871,7306932399002132778
15,0,14102100,1005,0,1,0,15699,320,50,1722,0,35,100084,79,-998235946303166737,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,6154905135569697777,-6351624509581666973
16,0,14102100,1005,0,1,0,17914,320,50,2043,2,39,-1,32,-8541956659064930300,519199084994882384,-8245037260675985886,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,6563165208993346952,-616526398944830769
17,0,14102100,1005,0,1,2,15708,320,50,1722,0,35,100084,79,6768411749517354010,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,1213461821481427661,-5447042282599780154
18,0,14102100,1005,1,1,0,6558,320,50,571,2,39,-1,32,-5587813665809100639,7153451114903387139,-8200604644668854278,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,3557851466470596715,-1979458889321720770
19,0,14102100,1005,0,1,0,21234,320,50,2434,3,163,100088,61,-3080614765803085090,8629950133425947508,111604357524640377,-2414393451864678829,4646776109510135833,-904227634758625487,7598674530867915909,-3518045965299665547,-8127550203991058044,497634321377340873
20,0,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,-3080614765803085090,1683353377056604349,-6802480992743140858,-5331365291037693071,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,5752269458073863809,-3750468643369283868
21,0,14102100,1005,0,1,0,15706,320,50,1722,0,35,-1,79,-2370529855504705659,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,6304658622343820622,-7308059280339891578
22,0,14102100,1005,0,1,0,20366,320,50,2333,0,39,-1,157,6770966570531504172,1683353377056604349,-6802480992743140858,-5331365291037693071,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-1770040272576373990,8684700912657445875
23,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,5114316504255187147,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,4721651739156786296,-7543481408653704015
24,0,14102100,1005,0,1,0,15706,320,50,1722,0,35,100083,79,-1273645024490408998,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,8133901295910383077,1077005538450510539
25,0,14102100,1010,1,4,0,21665,320,50,2493,3,35,-1,117,-547303737352103117,8629950133425947508,111604357524640377,-2414393451864678829,6391360779523085295,8511753678100510838,4844916605846005300,5640190080072426206,-1549557467152047374,-7968542276066455180
26,0,14102100,1005,1,1,0,20984,320,50,2371,0,551,100217,46,8034157444197082949,-5002982258106992296,-2205168921301951712,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-4068095319821764674,-1563562757512813399
27,1,14102100,1005,0,1,0,21611,320,50,2480,3,297,100111,61,7324072533898703518,8629950133425947508,111604357524640377,-2414393451864678829,-3881741946088249013,-6327619399419000028,4844916605846005300,1031008704209522188,2825202695626623827,4438842938378911109
28,0,14102100,1005,0,1,0,20366,320,50,2333,0,39,-1,157,7324072533898703518,1683353377056604349,-6802480992743140858,-5331365291037693071,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,1234600770594516096,-3203218385020632329
29,0,14102100,1005,0,1,0,15706,320,50,1722,0,35,-1,79,3163840527201481641,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-8736744961555924465,-4017719625710052202
30,0,14102100,1005,0,1,3,15708,320,50,1722,0,35,-1,79,1710940939140714075,8629950133425947508,111604357524640377,-2414393451864678829,2212348886469687078,-6327619399419000028,7897939898949762738,-9171049559940906753,7968940154746892743,3619324331441861614
31,0,14102100,1005,0,1,0,16838,320,50,1882,3,35,-1,13,8481049317254068845,8311007498543238230,-4872730788939984517,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-5411486487771215721,5229768156974795727
32,1,14102100,1005,0,1,0,15708,320,50,1722,0,35,100083,79,-2310843586992827692,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,6990512166640756207,3208554168692524275
33,0,14102100,1005,0,1,0,15699,320,50,1722,0,35,-1,79,-4498111632426913857,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,7990211808534828441,-3203218385020632329
