,click,hour,C1,banner_pos,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21,id_int,site_id_int,site_domain_int,site_category_int,app_id_int,app_domain_int,app_category_int,device_id_int,device_ip_int,device_model_int
0,0,14102100,1005,0,1,2,15706,320,50,1722,0,35,-1,79,6236128474209105056,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,5046070946384506528,4295674080651588051
1,0,14102100,1005,0,1,0,15704,320,50,1722,0,35,100084,79,505461546413431760,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,2814797654336592054,8597697701124467158
2,0,14102100,1005,0,1,0,15704,320,50,1722,0,35,100084,79,2751553681673227120,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,7167258948501824803,-6351624509581666973
3,0,14102100,1005,0,1,0,15706,320,50,1722,0,35,100084,79,-4658601308915551387,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-3620383016342659643,-9068659649458215538
4,0,14102100,1005,1,1,0,18993,320,50,2161,0,35,-1,157,412374962093111289,-6989217011279992995,-2170154065774416367,-7038547838583795797,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,8718230511589283685,-7640128113763281063
5,0,14102100,1005,0,1,0,16920,320,50,1899,0,431,100077,117,4356887216282035087,-8391469780661372980,-6321313078051792942,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,8392051010027843439,-6351624509581666973
6,0,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,-4542378797691805713,-8866996747402688865,3134547528511865469,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,-8306212933308559836,3617842697587675537
7,0,14102100,1005,1,1,0,20632,320,50,2374,3,39,-1,23,-2936383624568725463,-5002982258106992296,-2205168921301951712,-6827508670936997654,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,5564081480216272375,-3045051587222025656
8,1,14102100,1005,0,1,2,15707,320,50,1722,0,35,-1,79,5867298554491897359,1586783940683276736,-6461364947929047160,-6619379710939434495,-3459646385640828756,8511753678100510838,-3690605714457023166,-3518045965299665547,1187265491867580841,-7215468400569239102
9,0,14102100,1002,0,0,0,21689,320,50,2496,3,167,100191,23,7518254631584761594,478928268242111831,111604357524640377,-2414393451864678829,-3459646385640828756,8511753678100510838,-3690605714457023166,-7765729365089349732,-5335984195263987473,47424301701698708
