index,click,hour,C1,banner_pos,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21,id_int,site_id_int,site_domain_int,site_category_int,app_id_int,app_domain_int,app_category_int,device_id_int,device_ip_int,device_model_int
0,0,1,14102100,1005,0,1,2,15706,320,50,1722,0,35,-1,79,-2279651841919290000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,5046070946384510000,4295674080651590000
1,1,1,14102100,1005,0,1,0,15704,320,50,1722,0,35,100084,79,1357592371125930000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,2814797654336590000,8597697701124470000
2,2,1,14102100,1005,0,1,0,15704,320,50,1722,0,35,100084,79,-8607166518066310000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,7167258948501830000,-6351624509581670000
3,3,1,14102100,1005,0,1,0,15706,320,50,1722,0,35,100084,79,-4981402662603540000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-3620383016342660000,-9068659649458220000
4,4,1,14102100,1005,1,1,0,18993,320,50,2161,0,35,-1,157,1274240671289200000,-6989217011279990000,-2170154065774420000,-7038547838583800000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,8718230511589280000,-7640128113763280000
5,5,1,14102100,1005,0,1,0,16920,320,50,1899,0,431,100077,117,1274240671289200000,-8391469780661370000,-6321313078051790000,-6827508670937000000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,8392051010027840000,-6351624509581670000
6,6,1,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,1274240671289200000,-8866996747402690000,3134547528511860000,-6827508670937000000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-8306212933308560000,3617842697587680000
7,7,1,14102100,1005,1,1,0,20632,320,50,2374,3,39,-1,23,1644646285584970000,-5002982258106990000,-2205168921301950000,-6827508670937000000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,5564081480216270000,-3045051587222030000
8,8,1,14102100,1005,0,1,2,15707,320,50,1722,0,35,-1,79,1644646285584970000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,1187265491867580000,-7215468400569240000
9,9,1,14102100,1002,0,0,0,21689,320,50,2496,3,167,100191,23,1364394579390860000,478928268242112000,111604357524640000,-2414393451864680000,-3459646385640830000,8511753678100510000,-3690605714457020000,-7765729365089350000,-5335984195263990000,47424301701698700
